px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-4.27092	2.97683	5.2245	4.33676	-0.0456601	-4.27467	2.88187	-4.19571	2.93919	-1.82113	-4.86104	0.879276
-4.35915	2.70532	5.25632	4.34077	-0.0384039	-4.32451	2.55034	-4.28727	2.69633	-1.84065	-4.85202	1.33087
-4.44694	2.45551	5.2581	4.34466	-0.0283816	-4.38481	2.39989	-4.37985	2.45393	-1.86173	-4.84218	0.159291
-4.55023	2.19302	5.28713	4.34318	-0.0273575	-4.61223	2.09192	-4.47352	2.21205	-1.88436	-4.83149	0.726909
-4.66106	1.95978	5.28072	4.31949	-0.0748333	-4.29257	1.92854	-4.56836	1.97072	-1.90853	-4.81994	4.14448
-4.77451	1.69001	5.32428	4.31648	-0.0721421	-4.86829	1.53442	-4.66444	1.72998	-1.93422	-4.80751	1.69756
-4.89865	1.44168	5.34544	4.29914	-0.0979983	-4.98165	1.43611	-4.76186	1.48989	-1.9614	-4.79417	0.726286
-4.95939	1.20358	5.30483	4.30646	-0.0875852	-4.66779	1.28643	-4.86066	1.25049	-1.99007	-4.7799	4.71813
-5.05683	0.982404	5.26774	4.30287	-0.084442	-4.98594	1.10894	-4.96095	1.01182	-2.02019	-4.76468	1.04134
-5.11914	0.746462	5.23197	4.3096	-0.0750076	-4.85498	0.825661	-5.06277	0.77393	-2.05174	-4.74848	3.90363
-5.21157	0.457796	5.29541	4.31381	-0.0705344	-4.84736	0.18101	-5.16621	0.536876	-2.08471	-4.73127	5.23145
-5.28713	0.215466	5.27595	4.31771	-0.0636805	-5.1231	0.257311	-5.27133	0.300706	-2.11906	-4.71303	1.47706
-5.39713	-0.0204985	5.26258	4.3193	-0.0455662	-5.99809	-0.290765	-5.3782	0.0654719	-2.15477	-4.69374	5.90918
-5.46915	-0.261136	5.24205	4.32476	-0.0382349	-5.29972	-0.212982	-5.4869	-0.168772	-2.1918	-4.67335	1.60142
-5.59018	-0.450761	5.18578	4.30263	-0.0670068	-5.64447	-0.144522	-5.59748	-0.401971	-2.23014	-4.65185	4.02571
-5.7275	-0.640243	5.14043	4.27879	-0.0919721	-5.85359	-0.445801	-5.71001	-0.634069	-2.26974	-4.62919	2.99117
-5.84171	-0.867742	5.15474	4.2592	-0.126775	-5.30947	-0.724468	-5.82456	-0.865006	-2.31058	-4.60536	5.47656
-5.93662	-1.13147	5.18734	4.26594	-0.110421	-5.87835	-1.26863	-5.94118	-1.09472	-2.35262	-4.58032	1.23316
